Name,Artist,Album,Track Number
Explode (DjRum Remix),"LV, Message to Bears",Explode,4
Taint (Djrum Remix),Haraket,Taint & Attgo,3
The Cold in You,Phaeleh,The Cold in You (Kahn Remix) / The Cold in You (Djrum Remix),2
A Simple Beautiful Truth (Djrum Remix),Wild Beasts,A Simple Beautiful Truth,3
Ballade (Djrum Remix),Jono McCleery,Ballade,3
Bliss (Djrum Remix),Gacha,Bliss (Djrum Remix),1
Milkyway 1311 (Djrum Remix),Onoe Caponoe,Djrum // Onoe Caponoe (Djrum Remix),1
Milkyway 1311 (Djrum Remix Dub),Onoe Caponoe,Djrum // Onoe Caponoe (Djrum Remix),2
