Name,Artist,Album,Track Number
Equipoise,Max Roach,Members Don't Get Weary,4
Sakamoto: Merry Christmas Mr. Lawrence,Ryuichi Sakamoto,Playing The Piano - US Version (Special Edition),2
Vesti la giubba from I Pagliacci,Toshiko Akiyoshi,Classic Encounters (feat. Reiko Honsho),8
